,recipe_link,ingredients,metadata,recipe_directions,recipe_nutrition
Beef and Broccoli Wellington,https://www.myrecipes.com/recipe/beef-broccoli-wellington,"['1\u2009½  pounds ground beef', '1   onion, chopped', '1   (6 1/2-oz.) can mushroom stems and pieces, drained', '1   (20-oz.) pkg. frozen chopped broccoli, thawed', '2   (8-oz.) pkgs. shredded mozzarella cheese', '1   (8-oz.) container sour cream', '2   (8-oz.) tubes refrigerated crescent rolls']",{'Yield': '6 servings'},"{'Step 3': 'Bake, uncovered, at 350° for 15 minutes or until golden. Cut into squares to serve.'}",
Buffalo Beef Dip,https://www.myrecipes.com/recipe/buffalo-beef-dip,"['2  tablespoons olive oil', '½   large yellow onion, chopped', '1  cup buffalo wing sauce (such as Frank’s RedHot)', '1   (16-oz.) package cooked, seasoned pulled beef', '1   (8-oz.) package cream cheese, softened', '2  cups shredded cheddar cheese, divided', 'Chopped fresh parsley, for garnish', 'Celery sticks and tortilla chips, for serving']",,{'Step 4': 'Place beef mixture to an 8x8-inch baking dish and bake at 325° for 15-18 minutes. Remove from oven and top evenly with remaining 1 cup cheddar cheese; turn broiler on high. Broil for 2 minutes or until cheese is melted. Top evenly with parsley and serve immediately with celery sticks and tortilla chips.'},
Corned Beef and Cabbage,https://www.myrecipes.com/recipe/corned-beef-cabbage-dinner,"['1   (4-pound) cured corned beef brisket, trimmed', '16  cups water', '2  cups chopped onion', '1  cup chopped celery', '1  cup chopped carrot', '1\u2009½  teaspoons pickling spice', '3   garlic cloves, peeled', 'Cooking spray', '1  tablespoon caraway seeds', '1   (2 1/2-pound) head green cabbage, cored and cut into 1-inch strips', '4  pounds small red potatoes, quartered', '2  tablespoons chopped fresh parsley', '2  teaspoons butter', '2  teaspoons grated lemon rind', '2  teaspoons fresh lemon juice', '⅛  teaspoon black pepper', '½  cup dry breadcrumbs', '1   (5-ounce) jar prepared horseradish, drained and squeezed dry', '3  tablespoons Dijon mustard']","{'Yield': '8 servings (serving size: 3 ounces beef, about 1 1/2 cups cabbage, and about 1 1/3 cups potatoes)'}",{'Step 5': 'Combine breadcrumbs and horseradish. Spread mustard over one side of corned beef. Press breadcrumb mixture onto mustard. Broil 3 minutes or until lightly browned. Serve corned beef with cabbage and potatoes.'},"['321 calories', ' calories from fat 41%', ' fat 145g', ' saturated fat 46g', ' mono fat 65g', ' poly fat 08g', ' protein 228g', ' carbohydrates 276g', ' fiber 10g', ' cholesterol 86mg', ' iron 43mg', ' sodium 927mg', ' calcium 11mg']"
Basic Beef Stew with Carrots and Mushrooms,https://www.myrecipes.com/recipe/basic-beef-stew-with-carrots-mushrooms,"['1  tablespoon olive oil, divided', '1  pound small cremini mushrooms', 'Cooking spray', '2  cups chopped onion', '3   garlic cloves, minced', '⅓  cup all-purpose flour (about 1 1/2 ounces)', '2  pounds lean beef stew meat, cut into bite-sized pieces', '¾  teaspoon salt, divided', '1  cup dry red wine', '1  tablespoon chopped fresh thyme', '2   (14-ounce) cans less-sodium beef broth', '1   bay leaf', '2  cups (3/4-inch) cubed peeled white potato (about 1 pound)', '1\u2009½  cups (1-inch) slices carrot (about 12 ounces)', '½  teaspoon freshly ground black pepper', 'Fresh thyme sprigs (optional)']",{'Yield': '8 servings (serving size: about 1 cup)'},"{'Step 4': 'Stir in potato and carrot. Simmer, uncovered, 1 hour and 15 minutes or until beef and vegetables are very tender and sauce is thick, stirring occasionally. Stir in remaining 1/2 teaspoon salt and pepper. Discard bay leaf. Garnish with thyme sprigs, if desired.'}","['303 calories', ' calories from fat 29%', ' fat 98g', ' saturated fat 32g', ' mono fat 47g', ' poly fat 06g', ' protein 264g', ' carbohydrates 268g', ' fiber 23g', ' cholesterol 71mg', ' iron 39mg', ' sodium 494mg', ' calcium 54mg']"
Beef Stew,https://www.myrecipes.com/recipe/beef-stew,"['1\u2009½  teaspoons olive oil', '1\u2009½  pounds beef stew meat, cut into 1-inch pieces', '3\u2009½  cups halved mushrooms (about 8 ounces)', '2  cups diagonally cut carrot', '1\u2009½  cups coarsely chopped onion', '1\u2009½  cups sliced celery', '2   garlic cloves, minced', '1\u2009½  cups water', '1  cup Cabernet Sauvignon or other dry red wine', '½  teaspoon dried thyme', '1\u2009¼  teaspoons kosher salt', '¼  teaspoon coarsely ground black pepper', '2   (14.5-ounce) cans no-salt-added stewed tomatoes, undrained', '2   bay leaves', '1   (2 1/4-ounce) can sliced ripe olives, drained', '2  tablespoons red wine vinegar', '¼  cup chopped fresh flat-leaf parsley']",{'Yield': '6 servings (serving size: 1 1/3 cups)'},"{'Step 1': 'Heat oil in a large Dutch oven over medium-high heat. Add beef; cook 5 minutes, browning on all sides. Remove from pan. Add mushrooms and next 4 ingredients (mushrooms through garlic) to pan; cook 5 minutes, stirring occasionally. Return beef to pan. Stir in water and next 6 ingredients (water through bay leaves); bring to a boil. Cover, reduce heat, and simmer 1 hour. Stir in olives, and cook for 30 minutes or until beef is tender. Discard bay leaves. Stir in vinegar. Sprinkle with parsley.'}","['288 calories', ' calories from fat 32%', ' fat 103g', ' saturated fat 33g', ' mono fat 5g', ' poly fat 06g', ' protein 252g', ' carbohydrates 201g', ' fiber 57g', ' cholesterol 71mg', ' iron 55mg', ' sodium 584mg', ' calcium 100mg']"
Mom's Signature Roast Beef,https://www.myrecipes.com/recipe/moms-signature-roast-beef,"['1   (12-oz.) bottle dark beer', '1   medium onion, chopped', '8   garlic cloves, minced', '1   lemon, thinly sliced', '1  cup soy sauce', '3  tablespoons vegetable oil, divided', '1   (3- to 4-lb.) boneless chuck roast, trimmed', '1  teaspoon fresh coarsely ground pepper', '8   carrots (about 1 1/2 lb.), diagonally sliced', '7   Yukon gold potatoes (3 lb.), peeled and cut into eighths', '2   large onions, cut into eighths', '2  tablespoons cornstarch']","{'prep': '30 mins', 'cook': '12 hrs 45 mins', 'total': '13 hrs 15 mins', 'Yield': 'Makes 6 to 8 servings'}","{'Step 6': 'Cola Pot Roast: Substitute 1 (12-oz.) can cola soft drink for beer, and proceed with recipe as directed.'}",
Beef Brisket with Beer,https://www.myrecipes.com/recipe/slow-cooker-beef-brisket-with-beer,"['1   (3-pound) beef brisket, trimmed', '1  teaspoon salt', '½  teaspoon freshly ground black pepper', 'Cooking spray', '¼  cup water', '2  cups vertically sliced onion (about 1 large)', '1\u2009½  cups chopped parsnip (about 2)', '1  tablespoon balsamic vinegar', '1   bay leaf', '1   (12-ounce) bottle light beer']",{'Yield': '12 servings (serving size: about 3 ounces brisket and 1/3 cup sauce)'},"{'Step 2': 'Place onion mixture, vinegar, bay leaf, and beer in a large electric slow cooker. Place brisket on top of onion mixture. Cover and cook on low for 8 hours. Discard bay leaf. Cut brisket diagonally across the grain into thin slices. Serve with sauce.'}","['160 calories', ' calories from fat 28%', ' fat 5g', ' saturated fat 19g', ' mono fat 21g', ' poly fat 02g', ' protein 205g', ' carbohydrates 56g', ' fiber 11g', ' cholesterol 49mg', ' iron 19mg', ' sodium 232mg', ' calcium 20mg']"
Roast Beef Club,https://www.myrecipes.com/recipe/roast-beef-club,"['12   slices whole-grain bread, cut into 3 1/4-inch circles and lightly toasted', '4  tablespoons jarred tomato chutney', '½  pound thinly sliced roast beef', '½  cup watercress sprigs', '8   large basil leaves', '1  ounce crumbled blue cheese', '4   pickle spears']","{'prep': '15 mins', 'total': '15 mins', 'Yield': 'Makes 4 servings (serving size: 1 sandwich and 1 pickle)'}","{'Step 2': 'Repeat the layer one more time, and top with remaining 4 bread rounds. Serve each club with a pickle spear.'}","['286 calories', ' fat 8g', ' saturated fat 3g', ' mono fat 2g', ' poly fat 1g', ' protein 25g', ' carbohydrates 30g', ' fiber 5g', ' cholesterol 48mg', ' iron 3mg', ' sodium 650mg', ' calcium 121mg']"
Beef Carnitas Tacos,https://www.myrecipes.com/recipe/beef-carnitas-tacos,"['2  cups chopped plum tomato (about 2 medium)', '⅓  cup chopped onion', '¼  cup diced peeled avocado', '2  tablespoons minced fresh cilantro', '1  tablespoon fresh lime juice', '⅛  teaspoon salt', '⅛  teaspoon freshly ground black pepper', '8   (6-inch) corn tortillas', '2  cups Beef Carnitas', '1   lime, cut into 8 wedges']",{'Yield': 'Serves 4 (serving size: 2 tacos)'},{'Step 1': 'Combine first 7 ingredients in a medium bowl; toss well. Warm tortillas according to package directions. Spoon 1/4 cup Beef Carnitas onto each tortilla; top each with about 3 tablespoons avocado mixture. Fold in half; serve with lime wedges.'},"['235 calories', ' fat 79g', ' saturated fat 22g', ' mono fat 32g', ' poly fat 09g', ' protein 176g', ' carbohydrates 26g', ' fiber 38g', ' cholesterol 48mg', ' iron 2mg', ' sodium 303mg', ' calcium 37mg']"
Pepperoncini Italian Beef Roast,https://www.myrecipes.com/recipe/pepperoncini-italian-beef-roast,"['1   4-lb. beef chuck roast', '1   8-oz. jar pepperoncini peppers, drained and juice reserved', '1   onion, sliced', '2   1-oz. pkgs. au jus mix', '8 to 10   hoagie rolls, split']",{'Yield': 'Serves 8 to 10'},{'Step 3': 'Cover and cook for an additional hour. Serve beef spooned onto rolls.'},
Chunky Beef Chili,https://www.myrecipes.com/recipe/chunky-beef-chili,"['4  pounds boneless chuck roast, cut into 1/2-inch pieces', '2  tablespoons chili powder', '2   (6-ounce) cans tomato paste', '1   (32-ounce) container beef broth', '2   (8-ounce) cans tomato sauce', '2  teaspoons granulated garlic', '1  teaspoon salt', '1  teaspoon ground oregano', '1  teaspoon ground cumin', '1  teaspoon paprika', '1  teaspoon onion powder', '½  teaspoon ground black pepper', '¼  teaspoon ground red pepper', 'Cornbread sticks (optional)', 'Toppings: crushed tortilla chips, sour cream, shredded cheese, chopped onion']","{'prep': '25 mins', 'cook': '1 hr 45 mins', 'total': '2 hrs 10 mins', 'Yield': 'Makes 9 cups'}","{'Step 2': 'Return beef to Dutch oven. Stir in beef broth and next 9 ingredients; bring to a boil. Reduce heat to low, and simmer, uncovered, stirring occasionally, 1 1/2 hours or until beef is tender. Serve with cornbread sticks, if desired, and desired toppings.'}",
