,recipe_link,ingredients,metadata,recipe_directions,recipe_nutrition
Southwestern Chicken Soup,https://www.myrecipes.com/recipe/southwestern-chicken-soup-0,"['1   12-ounce jar salsa verde', '3  cups cooked chicken pieces (1 small deli-counter rotisserie chicken or leftovers)', '1   15-ounce can cannellini beans, drained', '3  cups chicken broth', '1  teaspoon ground cumin (optional)', '2 green onions, chopped', '½  cup sour cream', 'Tortilla chips (optional)']","{'prep': '5 mins', 'additional': '10 mins', 'total': '15 mins', 'Yield': 'Makes 4 servings'}","{'Step 1': 'Empty the salsa into a large saucepan. Cook 2 minutes over medium-high heat, then add the chicken, beans, broth, and cumin (if desired). Bring to a boil, lower heat to a simmer, and cook for 10 minutes, stirring occasionally. Top each bowl with a sprinkling of onions, a dollop of sour cream, and some tortilla chips (if desired). For a soupier dish, use 4 cups of broth.'}","['calcium 124mg', ' 381 calories', ' carbohydrates 27g', ' cholesterol 91mg', ' fat 13g', ' fiber 5g', ' iron 4mg', ' protein 35mg', ' saturated fat 6g', ' sodium 668mg']"
Angela's Stovetop Chicken,https://www.myrecipes.com/recipe/angelas-stovetop-chicken,"['1   (4- to 5-lb.) whole chicken', '1\u2009½  teaspoons salt', '¼  teaspoon garlic powder', '¼  teaspoon pepper', '2  tablespoons butter', '2  tablespoons olive oil', '¼  cup dry white wine']","{'prep': '10 mins', 'cook': '1 hr 5 mins', 'total': '1 hr 15 mins', 'Yield': 'Makes 4 servings'}","{'Step 2': 'Melt butter with oil in a Dutch oven over medium-high heat; add chicken, and cook, breast side down, 5 minutes or until golden brown. Turn chicken, breast side up, and reduce heat to medium-low. Add 1/4 cup water and 1/4 cup wine to Dutch oven. Cover and cook 1 hour or until a meat thermometer inserted in thigh registers 180°.'}",
Smoky Chicken Chili,https://www.myrecipes.com/recipe/smoky-chicken-chili,"['2   poblano chile peppers, chopped', '1   large red bell pepper, chopped', '1   medium-size sweet onion, chopped', '3   garlic cloves, minced', '2  tablespoons olive oil', '2   (14 1/2-oz.) cans zesty chili-style diced tomatoes', '3  cups shredded or chopped smoked chicken (about 1 lb.)', '1   (16-oz.) can navy beans', '1   (15-oz.) can black beans, rinsed and drained', '1   (12-oz.) can beer*', '1   (1.25-oz.) envelope white chicken chili seasoning mix', 'Toppings: shredded Cheddar cheese, chopped fresh cilantro, sour cream, lime wedges, baby corn, sliced black olives, chopped red onion, tortilla chips']","{'prep': '15 mins', 'cook': '1 hr 15 mins', 'total': '1 hr 30 mins', 'Yield': 'Makes 9 cups'}","{'Step 3': 'Note: For testing purposes only, we used Del Monte Diced Tomatoes Zesty Chili Style and McCormick White Chicken Chili Seasoning Mix.'}",
Chicken and Dumplings,https://www.myrecipes.com/recipe/chicken-dumplings-2,"['Stew:', '½  cup all-purpose flour', '½  teaspoon salt', '½  teaspoon pepper', '½  teaspoon garlic powder', '½  teaspoon onion powder', '1  teaspoon chopped fresh thyme', '1  teaspoon chopped fresh sage', '2  pounds boneless, skinless chicken thighs, cut into 1-inch pieces', '2  tablespoons canola oil', '2   large carrots, thinly sliced', '2   ribs celery, thinly sliced', '2  cups frozen pearl onions, defrosted', '4  cups low-sodium chicken broth', '½  cup half-and-half', '1  cup frozen peas', 'Dumplings:', '1  cup whole-wheat flour', '½  cup all-purpose flour', '½  teaspoon baking soda', '¼  teaspoon salt', '1  tablespoon chopped fresh thyme', '¼  teaspoon chopped fresh sage', '1\u2009¼  cups buttermilk']","{'prep': '20 mins', 'cook': '45 mins', 'total': '1 hr 5 mins', 'Yield': 'Serves 8'}","{'Step 4': 'Stir peas into chicken mixture. Drop in tablespoonfuls of dough, cover; simmer dumplings until cooked through, about 15 minutes. Serve immediately.'}","['367 calories', ' fat 11g', ' saturated fat 3g', ' protein 32g', ' carbohydrates 34g', ' fiber 5g', ' cholesterol 102mg', ' sodium 500mg']"
Marinated Chicken Quarters,https://www.myrecipes.com/recipe/marinated-chicken-quarters,"['½  cup butter or margarine, melted', '½  cup lemon juice', '1  tablespoon paprika', '1  tablespoon dried oregano', '1  teaspoon garlic salt', '1  teaspoon dried or 1 tablespoon chopped fresh cilantro', '1  teaspoon ground cumin', '1   (2 1/2-pound) whole chicken, quartered', '½  teaspoon salt', '½  teaspoon pepper']",{'Yield': 'Makes 4 servings'},"{'Step 4': 'Grill, covered with grill lid, over medium-high heat (350° to 400°) 40 to 45 minutes or until done, basting often with reserved butter mixture and turning once.'}",
Thai-Style Chicken,https://www.myrecipes.com/recipe/thai-style-chicken,"['1\u2009½  teaspoons vegetable oil', '1   medium onion, cut into 1/4-inch wedges', '¾  cup light coconut milk', '½  teaspoon red curry paste', '⅛  teaspoon black pepper', '1  pound chicken breast tenders', '3  tablespoons chopped fresh cilantro', '1\u2009½  teaspoons fish sauce', '¼  teaspoon salt', '1   (7-ounce) bottle roasted red bell peppers, drained and coarsely chopped']",{'Yield': '4 servings (serving size: 1 cup)'},"{'Step 1': 'Heat oil in a large nonstick skillet over medium-high heat. Add onion, and cook 4 minutes or until onion is golden, stirring frequently. Stir in coconut milk, curry paste, and black pepper. Add the chicken; bring to a simmer. Cook 8 minutes or until chicken is done, stirring frequently. Stir in cilantro and remaining ingredients, and cook 1 minute.'}","['195 calories', ' calories from fat 26%', ' fat 57g', ' saturated fat 22g', ' mono fat 08g', ' poly fat 15g', ' protein 273g', ' carbohydrates 67g', ' fiber 09g', ' cholesterol 66mg', ' iron 12mg', ' sodium 601mg', ' calcium 26mg']"
Jerk-Style Chicken,https://www.myrecipes.com/recipe/jerk-style-chicken,"['1  teaspoon grated lime rind', '¼  cup fresh lime juice', '1  tablespoon ground allspice', '1  tablespoon brown sugar', '1   to 2 tablespoons finely chopped jalapeño pepper', '2  tablespoons olive oil', '1  teaspoon salt', '1  teaspoon coarsely ground black pepper', '1  teaspoon dried thyme', '1  teaspoon ground cinnamon', '½  teaspoon ground nutmeg', '3   garlic cloves, chopped', '½  cup chopped onion', '6   skinless, boneless chicken thighs (about 1 pound)', '3   (6-ounce) skinless, boneless chicken breast halves', 'Cooking spray', 'Parsley sprigs (optional)', 'Lime slices (optional)']",{'Yield': '6 servings (serving size: 2 thighs or 1 breast half)'},"{'Step 3': 'Remove chicken from bag; discard marinade. Place chicken on grill rack coated with cooking spray. Grill chicken, covered, 5 minutes on each side or until done. Garnish with parsley and lime slices, if desired.'}","['169 calories', ' calories from fat 29%', ' fat 54g', ' saturated fat 11g', ' mono fat 25g', ' poly fat 09g', ' protein 261g', ' carbohydrates 26g', ' fiber 08g', ' cholesterol 84mg', ' iron 13mg', ' sodium 287mg', ' calcium 25mg']"
Oven-Fried Chicken Cutlets,https://www.myrecipes.com/recipe/oven-fried-chicken-cutlets,"['⅓  cup butter or margarine, melted', '1  tablespoon Dijon mustard', '¼  teaspoon garlic powder', '¼  teaspoon salt', '¼  teaspoon pepper', '1  cup round buttery cracker crumbs (about 44 crackers)', '½  cup grated Parmesan cheese', '4   chicken breast cutlets (about 1 1/4 pounds)', 'Garnish: chopped fresh parsley']",{'Yield': 'Makes 4 servings'},"{'Step 3': 'Bake at 400° for 25 to 30 minutes or until chicken is brown and done. Garnish, if desired.'}",
Creamy Chicken Salad,https://www.myrecipes.com/recipe/creamy-chicken-salad,"['2  pounds skinless, boneless chicken breast halves', '½  cup light mayonnaise', '½  cup plain fat-free Greek yogurt', '1  tablespoon fresh lemon juice', '1  tablespoon white wine vinegar', '1  tablespoon Dijon mustard', '1  teaspoon honey', '½  teaspoon kosher salt', '½  teaspoon freshly ground black pepper', '⅓  cup chopped celery', '⅓  cup sweetened dried cranberries', '7  tablespoons (about 2 ounces) coarsely chopped smoked almonds', '6  cups mixed salad greens']","{'hands-on': '24 mins', 'total': '2 hrs 19 mins', 'Yield': '6 servings (serving size: about 1 cup chicken salad and 1 cup salad greens)'}","{'Step 3': 'Combine mayonnaise and the next 7 ingredients (through black pepper) in a large bowl, stirring with a whisk until combined. Add chicken, 1/3 cup celery, cranberries, and almonds; toss well to coat. Cover and refrigerate for 1 hour. Serve over salad greens.'}","['339 calories', ' fat 136g', ' saturated fat 19g', ' mono fat 51g', ' poly fat 51g', ' protein 395g', ' carbohydrates 146g', ' fiber 28g', ' cholesterol 95mg', ' iron 2mg', ' sodium 525mg', ' calcium 54mg']"
Vietnamese Chicken Sandwiches,https://www.myrecipes.com/recipe/vietnamese-chicken-sandwiches-0,"['1   (12-ounce) French bread baguette', '2  teaspoons canola oil', '1  pound chicken cutlets', '¼  teaspoon black pepper', '2  teaspoons minced garlic, divided', '1  tablespoon lower-sodium soy sauce', '2  teaspoons dark sesame oil', '2  teaspoons hoisin sauce', '½  cup sugar', '½  cup rice vinegar', '1  cup matchstick-cut carrots', '1  cup very thinly sliced radishes', '2  cups thinly sliced English cucumber', '1\u2009½  cups thinly sliced romaine lettuce', '½  cup cilantro leaves', '1  tablespoon Sriracha (hot chile sauce, such as Huy Fong)']","{'hands-on': '38 mins', 'total': '50 mins', 'Yield': 'Serves 4'}","{'Step 7': 'If you like avocado, try Chicken-Avocado Club Sandwiches: Prepare Vietnamese Chicken Sandwiches through step 2, substituting 12 slices toasted thin wheat bread for \xadbaguette (do not hollow out bread), substituting cooking spray for oil, and sprinkling 1/8 teaspoon kosher salt on chicken with pepper. Combine 1 cup mashed avocado, 1 tablespoon fresh lime juice, 2 teaspoons canola mayonnaise, and 2 slices cooked crumbled bacon. Divide avocado mixture evenly among 8 bread slices. Spread 1/2 teaspoon yellow mustard over 1 side of remaining 4 bread slices. Top each mustard-topped bread slice with 1 Bibb lettuce leaf and 2 plum tomato slices; sprinkle evenly with 1/4 teaspoon black pepper. Divide half of chicken among sandwiches; top each with 1 avocado-topped bread slice. Repeat layers. Serves 4 Calories 404; Fat 7g (sat 8g); Sodium 561mg'}","['400 calories', ' fat 77g', ' saturated fat 11g', ' mono fat 31g', ' poly fat 21g', ' protein 25g', ' carbohydrates 593g', ' fiber 3g', ' cholesterol 54mg', ' iron 29mg', ' sodium 802mg', ' calcium 38mg']"
