,recipe_link,ingredients,metadata,recipe_directions,recipe_nutrition
Greek Salmon Burgers,https://www.myrecipes.com/recipe/greek-salmon-burgers,"['1  pound skinless salmon fillets, cut into 2-inch pieces', '½  cup panko', '1   large egg white', '1  pinch kosher salt', '¼  teaspoon freshly ground black pepper', '½  cup cucumber slices', '¼  cup crumbled feta cheese', '4   (2.5-oz) ciabatta rolls, toasted']",{'Yield': 'Makes 4 burgers (serving size: 1 greek salmon burger)'},"{'Step 3': 'Heat grill to medium-high; cook, turning once, until burgers are just cooked through (5-7 minutes per side). Serve with desired toppings and buns.'}","['443 calories', ' fat 128g', ' saturated fat 34g', ' mono fat 34g', ' poly fat 34g', ' protein 36g', ' carbohydrates 42g', ' fiber 1g', ' cholesterol 84mg', ' iron 3mg', ' sodium 655mg', ' calcium 88mg']"
Sockeye Salmon Crostini,https://www.myrecipes.com/recipe/sockeye-salmon-crostini,"['1   (6-ounce) fresh or frozen sustainable sockeye salmon fillet (such as Alaskan)', '¼  teaspoon freshly ground black pepper, divided', '2  tablespoons finely chopped shallots', '1  tablespoon chopped drained capers', '3  tablespoons crème fraîche', '¼  teaspoon grated lemon rind', '1  teaspoon fresh lemon juice', '12   (1/2-ounce) slices diagonally cut French bread baguette, toasted', '12   small dill sprigs']","{'hands-on': '10 mins', 'total': '10 mins', 'Yield': 'Serves 6 (serving size: 2 crostini)'}","{'Step 3': 'Combine shallots and next 4 ingredients (through lemon juice) in a small bowl, stirring well. Place 2 toasted baguette slices on each of 6 small plates. Divide salmon evenly among baguette slices; top each crostini with 1 teaspoon crème fraîche mixture and 1 dill sprig.'}","['142 calories', ' fat 43g', ' saturated fat 2g', ' mono fat 05g', ' poly fat 06g', ' protein 82g', ' carbohydrates 167g', ' fiber 08g', ' cholesterol 18mg', ' iron 12mg', ' sodium 228mg', ' calcium 17mg']"
Almond-Crusted Salmon,https://www.myrecipes.com/recipe/almond-crusted-salmon,"['¼  cup almond meal', '¼  cup panko', '¼  teaspoon ground coriander', '⅛  teaspoon ground cumin', '4   (6-ounce) salmon fillets, about 1-inch thick', '2  teaspoons lemon juice', '½  teaspoon kosher salt', '¼  teaspoon freshly ground black pepper', 'Cooking spray', '4   lemon wedges']",{'Yield': '4 servings (serving size: 1 fillet and 1 lemon wedge)'},"{'Step 3': 'Brush tops and sides of fish with juice: sprinkle with salt and pepper. Working with 1 fillet at a time, dredge top and sides in almond mixture; place skin side down on broiler pan coated with cooking spray. Sprinkle any remaining crumb mixture evenly over fish; press gently to adhere. Bake at 500° for 15 minutes or until fish flakes easily when tested with a fork or until desired degree of doneness. Serve with lemon wedges.'}","['332 calories', ' calories from fat 45%', ' fat 167g', ' saturated fat 33g', ' mono fat 79g', ' poly fat 4g', ' protein 382g', ' carbohydrates 54g', ' fiber 15g', ' cholesterol 87mg', ' iron 06mg', ' sodium 330mg', ' calcium 28mg']"
Citrus Roasted Salmon,https://www.myrecipes.com/recipe/citrus-roasted-salmon-0,"['4   oranges', '3   limes', '1   (3-lb.) skin-on salmon fillet, pin bones removed', '2  tablespoons unsalted butter, melted', '2  teaspoons kosher salt, divided', '¾  teaspoon black pepper, divided', '4  tablespoons unsalted butter, cubed', '¼  cup chopped fresh dill, divided']","{'active': '15 mins', 'total': '1 hr', 'Yield': 'Serves 8 (serving size: 6 oz. fish, 3 Tbsp. sauce)'}",{'Step 4': 'Place salmon on a platter; sprinkle with remaining dill. Serve with sauce.'},
Salmon with Orange Marmalade,https://www.myrecipes.com/recipe/salmon-with-orange-marmalade,"['¼  cup orange marmalade', '2  tablespoons low-sodium soy sauce', '2   garlic cloves, minced', '1   (1 1/2-pound) salmon fillet', '¼  teaspoon salt']",{'Yield': '4 servings (serving size: about 4 1/2 ounces)'},{'Step 4': 'Broil fish 3 minutes or until topping browns.'},"['328 calories', ' calories from fat 36%', ' fat 131g', ' saturated fat 31g', ' mono fat 57g', ' poly fat 32g', ' protein 368g', ' carbohydrates 144g', ' fiber 01g', ' cholesterol 87mg', ' iron 08mg', ' sodium 505mg', ' calcium 32mg']"
Smoked Salmon Salad in Cucumber Cups,https://www.myrecipes.com/recipe/smoked-salmon-salad,"['¼  cup finely chopped green onions', '2  tablespoons plain 2% reduced-fat Greek yogurt', '2  tablespoons canola mayonnaise', '2  tablespoons drained capers', '1  tablespoon chopped fresh dill, divided', '1   (12-ounce) package cold-smoked salmon, coarsely chopped', '3   English cucumbers', '⅛  teaspoon freshly ground black pepper']","{'hands-on': '25 mins', 'total': '25 mins', 'Yield': 'Serves 17 (serving size: 2 cucumber cups)'}",{'Step 3': 'Spoon about 1 tablespoon salmon mixture into each cucumber cup. Sprinkle cups evenly with remaining 1 teaspoon dill and pepper.'},"['36 calories', ' fat 14g', ' saturated fat 02g', ' mono fat 07g', ' poly fat 04g', ' protein 4g', ' carbohydrates 13g', ' fiber 04g', ' cholesterol 5mg', ' iron 03mg', ' sodium 201mg', ' calcium 12mg']"
Curried Salmon Cakes,https://www.myrecipes.com/recipe/curried-salmon-cakes,"['2   large eggs', '2   pouches (about 7 oz. each) boned, skinned pink salmon, or 1 can (about 15 oz.) red or pink salmon, drained, skin removed', '½  cup finely chopped apple', '¼  cup fine dried bread crumbs', '¼  cup thinly sliced green onions', '2  tablespoons mayonnaise', '1  teaspoon curry powder', '½  teaspoon paprika', '¼  teaspoon pepper', '1  tablespoon vegetable oil', 'Lemon-curry aioli']","{'total': '25 mins', 'Yield': 'Makes 4 servings'}",{'Step 3': 'Serve cakes with aioli.'},"['463 calories', ' calories from fat 70%', ' protein 29g', ' fat 36g', ' saturated fat 53g', ' carbohydrates 10g', ' fiber 13g', ' sodium 603mg', ' cholesterol 170mg']"
Easy Pesto Salmon,https://www.myrecipes.com/recipe/easy-pesto-salmon,"['2  cups fresh spinach leaves', '½  cup basil leaves', '¼  cup fat-free, less-sodium chicken broth', '1  tablespoon olive oil', '¼  teaspoon salt', '3   garlic cloves, peeled', 'Cooking spray', '2   (6-ounce) salmon fillets, skinned', '⅔  cup hot cooked brown rice']",{'Yield': '2 servings (serving size: 1 salmon fillet and 1/3 cup rice)'},{'Step 3': 'Bake at 400° for 20 minutes or until fish flakes easily when tested with a fork. Serve with rice.'},"['443 calories', ' calories from fat 45%', ' fat 221g', ' saturated fat 35g', ' mono fat 12g', ' poly fat 44g', ' protein 387g', ' carbohydrates 206g', ' fiber 31g', ' cholesterol 111mg', ' iron 32mg', ' sodium 483mg', ' calcium 96mg']"
Smoked Salmon Dip,https://www.myrecipes.com/recipe/smoked-salmon-dip-0,"['8  ounces cream cheese or Neufchâtel, softened', '½  cup sour cream', '1  tablespoon fresh lemon juice', '2  tablespoons capers', '2  tablespoons finely chopped red onion', '2  tablespoons chopped fresh dill', '4  ounces smoked salmon, coarsely chopped', 'Raw vegetables, breadsticks, or flatbread crackers']","{'prep': '7 mins', 'total': '7 mins', 'Yield': 'Makes 1 3/4 cups'}","{'Step 1': 'Combine first 6 ingredients in a food processor, and pulse until blended. Stir in salmon. Serve with vegetables, breadsticks, or crackers.'}",
Sesame-Soy Salmon,https://www.myrecipes.com/recipe/sesame-soy-salmon,"['⅓  cup light brown sugar', '¼  cup soy sauce', '2  teaspoons rice wine vinegar', '2   (6-ounce) salmon fillets', '1  teaspoon olive oil', '1  teaspoon sesame oil', '1  tablespoon sesame seeds', '2  tablespoons chopped fresh chives']",{'Yield': 'Makes 2 servings'},"{'Step 3': ""Wine note: Amy Arrington, from Southern Wine and Spirits in Charleston, South Carolina, suggests wine options to serve with this meal: âÂ€ÂœFranciscan Chardonnay, with its ripe fruitiness, full body, and creamy texture, pairs nicely with the salmon—it can stand up to salmon's substantial taste but has enough acidity for contrast. Esser Vineyard's food-friendly Pinot Noir makes a tasty complement to the fish's richness, and its low tannins don't interfere with salmon's beautiful flavors.""}",
