,recipe_link,ingredients,metadata,recipe_directions,recipe_nutrition
Parmesan-Herb Crusted Tofu Sandwich,https://www.myrecipes.com/recipe/parmesan-herb-crusted-tofu-sandwich,"['Tofu:', '1   (14-ounce) package firm tofu, drained', '1  cup breadcrumbs (about 2 slices stale bread)', '¼  cup (1 ounce) grated fresh Parmesan cheese', '1  teaspoon dried marjoram', '½  teaspoon dried savory', '¼  teaspoon dried thyme', '¼  teaspoon black pepper, divided', '¼  cup fat-free milk', '⅛  teaspoon salt', '2   large egg whites, lightly beaten', '¼  cup all-purpose flour', 'Cooking spray', 'Remaining ingredients:', '3  tablespoons light mayonnaise', '1  tablespoon chopped fresh chives', '1  teaspoon low-sodium soy sauce', '1   small garlic clove, minced', '4   (2-ounce) sesame buns', '4   romaine lettuce leaves', '12   (1/4-inch-thick) slices plum tomato']",{'Yield': '4 servings'},"{'Step 4': 'Combine mayonnaise, chives, soy sauce, and garlic. Spread 1 tablespoon mayonnaise mixture evenly over cut sides of each bun. Arrange 1 lettuce leaf and 3 tomato slices over bottom half of each bun; top each with 3 tofu slices. Cover with tops of buns. Serve immediately.'}","['459 calories', ' calories from fat 28%', ' fat 144g', ' saturated fat 34g', ' mono fat 36g', ' poly fat 62g', ' protein 226g', ' carbohydrates 607g', ' fiber 44g', ' cholesterol 9mg', ' iron 98mg', ' sodium 905mg', ' calcium 366mg']"
Indian-Style Tofu and Cauliflower with Chutney,https://www.myrecipes.com/recipe/indian-style-tofu-cauliflower-with-chutney,"['1   (14-ounce) package firm water-packed tofu, drained', '1   medium onion, cut into 6 wedges', '2  tablespoons canola oil', '1  teaspoon brown mustard seeds', '¾  teaspoon cumin seeds', '2  teaspoons curry powder', '4   garlic cloves', '1   (1/2-inch) piece fresh ginger, peeled and coarsely chopped', '4  cups cauliflower florets (about 1 1/4 pounds)', '¼  cup water', '1  teaspoon salt', '1   (14.5-ounce) can diced tomatoes, undrained', '4\u2009½  cups hot cooked basmati rice', '¼  cup plain fat-free yogurt', '¼  cup chopped fresh cilantro']",{'Yield': '6 servings'},{'Step 4': 'Spoon 3/4 cup rice onto each of 6 plates; top each serving with 1 cup tofu mixture. Spoon 2 teaspoons yogurt over each serving; sprinkle with cilantro.'},"['312 calories', ' fat 88g', ' saturated fat 08g', ' mono fat 55g', ' poly fat 15g', ' protein 125g', ' carbohydrates 476g', ' fiber 5g', ' iron 35mg', ' sodium 517mg', ' calcium 187mg']"
Miso-Glazed Tofu,https://www.myrecipes.com/recipe/miso-glazed-tofu,"['1  tablespoon miso paste', '1  tablespoon rice-wine vinegar', '2  tablespoons honey', '1  tablespoon low-sodium soy sauce', '1   (14-ounce) block extra-firm tofu', '4   baby bok choy, halved', '½  teaspoon grated ginger', '1  teaspoon low-sodium soy sauce', '1  tablespoon rice-wine vinegar', '1  tablespoon sesame oil', '⅛  teaspoon crushed red pepper', '1  tablespoon sesame seeds']",{'Yield': 'Serves 4 (serving size: 3.5 ounces tofu and 1 baby bok choy)'},"{'Step 1': 'Preheat oven to 350°. In bowl, whisk together miso paste, 1 tablespoon rice-wine vinegar, honey, and 1 tablespoon low-sodium soy sauce until smooth. Slice tofu into 4 pieces. Dry with paper towels. Add to marinade; toss. Cover; refrigerate 30 minutes, turning once. Discard marinade; transfer tofu to baking dish. Bake until browned (30-35 minutes). Steam halved baby bok choy in saucepan of shallow simmering water, covered, until tender. In bowl, combine ginger, 1 teaspoon low-sodium soy sauce, 1 tablespoon rice-wine vinegar, sesame oil, and crushed red pepper. Slice tofu; serve with bok choy. Drizzle with vinaigrette and sesame seeds.'}","['164 calories', ' fat 101g', ' saturated fat 14g', ' mono fat 35g', ' poly fat 52g', ' protein 12g', ' carbohydrates 8g', ' fiber 3g', ' iron 2mg', ' sodium 152mg', ' calcium 78mg']"
Fiery Tofu and Coconut Curry Soup,https://www.myrecipes.com/recipe/fiery-tofu-coconut-curry-soup,"['2  tablespoons canola oil', '2  teaspoons minced garlic', '¼  cup red curry paste', '1  tablespoon dark brown sugar', '2   (13.5-ounce) cans light coconut milk', '2\u2009½  cups organic vegetable broth', '¼  cup fresh lime juice', '¼  cup thinly sliced peeled fresh ginger', '2  tablespoons lower-sodium soy sauce', '2  cups thinly sliced carrot (about 4)', '1\u2009½  cups (1-inch) pieces green beans (8 ounces)', '1   (14-ounce) package water-packed soft tofu, drained and cut into (1-inch) cubes', '¾  cup fresh cilantro leaves']","{'total': '1 hr 20 mins', 'Yield': '6 servings (serving size: 1 1/3 cups soup and 2 tablespoons cilantro)'}","{'Step 1': 'Heat oil in a large saucepan over medium-high heat. Add garlic to pan; sauté 30 seconds or until lightly browned. Add curry paste; sauté 1 minute, stirring constantly. Add brown sugar; cook 1 minute. Stir in coconut milk, broth, juice, ginger, and soy sauce. Reduce heat to low; cover and simmer 1 hour. Add carrot; cook for 6 minutes. Add beans, and cook 4 minutes or until vegetables are crisp-tender. Add tofu to pan, and cook 2 minutes. Garnish with cilantro leaves.'}","['224 calories', ' fat 144g', ' saturated fat 74g', ' mono fat 33g', ' poly fat 28g', ' protein 76g', ' carbohydrates 21g', ' fiber 3g', ' iron 2mg', ' sodium 690mg', ' calcium 114mg']"
Grilled Lemon-Basil Tofu Burgers,https://www.myrecipes.com/recipe/grilled-lemon-basil-tofu-burgers,"['⅓  cup finely chopped fresh basil', '2  tablespoons Dijon mustard', '2  tablespoons honey', '2  teaspoons grated lemon rind', '¼  cup fresh lemon juice', '1  tablespoon extravirgin olive oil', '½  teaspoon salt', '¼  teaspoon freshly ground black pepper', '4   garlic cloves, minced and divided', '1  pound firm or extrafirm tofu, drained', 'Cooking spray', '⅓  cup finely chopped pitted kalamata olives', '3  tablespoons reduced-fat sour cream', '3  tablespoons light mayonnaise', '6   (1 1/2-ounce) hamburger buns', '6   (1/4-inch-thick) slices tomato', '1  cup trimmed watercress']",{'Yield': '6 servings (serving size: 1 burger)'},"{'Step 4': 'Combine remaining 1 minced garlic clove, chopped olives, sour cream, and mayonnaise in a small bowl; stir well. Spread about 1 1/2 tablespoons mayonnaise mixture over bottom half of each hamburger bun; top each serving with 1 tofu slice, 1 tomato slice, about 2 tablespoons watercress, and top half of bun.'}","['276 calories', ' calories from fat 37%', ' fat 113g', ' saturated fat 19g', ' mono fat 57g', ' poly fat 22g', ' protein 105g', ' carbohydrates 345g', ' fiber 15g', ' cholesterol 5mg', ' iron 24mg', ' sodium 743mg', ' calcium 101mg']"
27 Mouthwatering Meals Starring Tofu,https://www.myrecipes.com/special-diet/vegetarian-recipes/tofu-recipes,,,,
Tofu Fried Rice,https://www.myrecipes.com/recipe/tofu-fried-rice,"['2  cups uncooked instant rice', '2  tablespoons vegetable oil, divided', '1   (14-ounce) package reduced-fat firm tofu, drained and cut into (1/2-inch) cubes', '2   large eggs, lightly beaten', '1  cup (1/2-inch-thick) slices green onions', '1  cup frozen peas and carrots, thawed', '4   garlic cloves, minced', '1  teaspoon minced peeled fresh ginger', '2  tablespoons sake (rice wine)', '3  tablespoons low-sodium soy sauce', '1  tablespoon hoisin sauce', '½  teaspoon dark sesame oil', 'Thinly sliced green onions (optional)']","{'hands-on': '20 mins', 'total': '20 mins', 'Yield': '4 servings (serving size: 1 1/2 cups)'}","{'Step 3': 'While vegetable mixture cooks, combine sake, soy sauce, hoisin sauce, and sesame oil. Add cooked rice to pan; cook 2 minutes, stirring constantly. Add tofu, egg, and soy sauce mixture; cook 30 seconds, stirring constantly. Garnish with sliced green onions, if desired.'}","['376 calories', ' calories from fat 26%', ' fat 11g', ' saturated fat 2g', ' mono fat 3g', ' poly fat 51g', ' protein 158g', ' carbohydrates 506g', ' fiber 32g', ' cholesterol 106mg', ' iron 38mg', ' sodium 629mg', ' calcium 79mg']"
Tofu Larb,https://www.myrecipes.com/recipe/tofu-larb,"['⅓  cup fresh lime juice (about 3 limes)', '1  tablespoon sugar', '1\u2009½  tablespoons fish sauce', '½  teaspoon salt', '¼  teaspoon crushed red pepper', '2   (14-ounce) packages water-packed firm reduced-fat tofu, drained and crumbled', '2  teaspoons vegetable oil', '½  teaspoon dark sesame oil', '2  cups thinly vertically sliced red onion', '3   garlic cloves, minced', '2   serrano chiles, thinly sliced', '½  cup chopped fresh basil', '¼  cup chopped fresh mint', '9   large green or red cabbage leaves']",{'Yield': '9 servings (serving size: 1 filled cabbage leaf)'},"{'Step 3': 'Heat oils in a large nonstick skillet over medium-high heat. Add onion, garlic, and chiles; sauté 3 minutes. Add tofu; cook 8 minutes or until lightly browned, stirring occasionally. Stir in juice mixture; cook 1 minute or until heated. Remove from heat; stir in basil and mint. Spoon about 1/2 cup tofu mixture into each cabbage leaf.'}","['80 calories', ' calories from fat 28%', ' fat 25g', ' saturated fat 02g', ' mono fat 06g', ' poly fat 14g', ' protein 63g', ' carbohydrates 75g', ' fiber 12g', ' iron 11mg', ' sodium 426mg', ' calcium 66mg']"
Bok Choy and Tofu Noodle Bowl,https://www.myrecipes.com/recipe/bok-choy-tofu-noodle-bowl,"['1   pkg. (7 oz.) fresh udon or other Asian noodles', '2  tablespoons reduced-sodium soy sauce', '1  tablespoon toasted sesame oil', '1  cup vegetable broth', '1   pkg. (14 oz.) firm tofu', '2  tablespoons vegetable oil, divided', '1  tablespoon each minced fresh ginger and garlic', '4   baby bok choy (about 1 lb.), leaves separated', '4   green onions, trimmed and sliced']","{'total': '40 mins', 'Yield': 'Serves 4'}",{'Step 4': 'Note: Nutritional analysis is per serving.'},"['346 calories', ' calories from fat 40%', ' protein 16g', ' fat 16g', ' saturated fat 18g', ' carbohydrates 35g', ' fiber 36g', ' sodium 703mg']"
Tofu Saag,https://www.myrecipes.com/recipe/tofu-saag,"['21  ounces firm water-packed tofu, cut into 1-inch squares', '2  tablespoons canola oil, divided', '10  ounces baby spinach, stemmed', '10  ounces baby kale, stemmed', '1  teaspoon cumin seeds', '1  teaspoon fennel seeds', '8   green cardamom pods', '6   whole cloves', '3   dried red chiles de arbol', '2  tablespoons minced fresh ginger', '¼  teaspoon asafetida (optional)', '¾  teaspoon kosher salt', '1\u2009½  tablespoons ghee or canola oil', '¾  teaspoon cumin seeds', '½  teaspoon fennel seeds', '3   dried red chiles de arbol', '⅛  teaspoon asafetida (optional)', '⅛  teaspoon ground red pepper', '1  teaspoon water']","{'hands-on': '50 mins', 'total': '50 mins', 'Yield': 'Serves 6 (serving size: about 1/2 cup saag and 3 1/2 ounces tofu)'}","{'Step 6': 'Combine ghee or oil with 3/4 teaspoon cumin seeds, 1/2 teaspoon fennel seeds, and 3 chiles in a small skillet over medium-high heat; cook 2 minutes or until seeds turn golden brown, stirring frequently. Add 1/8 teaspoon asafetida, if desired, and ground red pepper. Carefully add 1 teaspoon water to keep ground red pepper from burning, and immediately pour oil mixture into spinach mixture. Stir.'}","['210 calories', ' fat 137g', ' saturated fat 33g', ' mono fat 8g', ' poly fat 15g', ' protein 12g', ' carbohydrates 13g', ' fiber 4g', ' cholesterol 10mg', ' iron 4mg', ' sodium 337mg', ' calcium 298mg']"
